key/len,ru,en
key_title_error,Ошибка!,Error!
key_title_add,Добавить,Add
key_title_remove,Удалить,Remove
key_title_save,Сохранить,Save
key_title_lang,Язык,language
key_title_find,Найти,Find
key_title_new,Новый,New
key_title_lessons,Уроки,Lessons
key_title_parts,Части,Parts
key_title_symbols,Символы,Symbols
key_title_author,Автор,Author
key_title_title,Название,Title
key_title_export,Экспорт,Export
key_title_import,Импорт,Import
key_title_help,Помощь,Help
key_title_back,Назад,Back
key_title_hint,Подсказка,Hint
key_title_congratulations,Поздравляю!,Congratulations!
key_title_close,Закрыть,Close
key_title_version,Версия {0},Version {0}
key_title_user_name,Имя пользователя,Username

key_error_already_exists,Значение кнопки {0} уже существует! Значения не должны дублироваться.,Key set {0} already exists! The values should not be duplicated.
key_error_empty_simple,Для ключа {0} должно быть указано значение!,For the key {0} must be specified a value!
key_error_only_keyset,Виджеты кнопок должны быть производными от класса KeySet.,Button widgets must be derived from the KeySet class.
key_error_need_key_opt,Путь к виджету полей кнопок неизвестен.,The button fields widget path is unknown.
key_error_select_key,Сначала выберите кнопку.,First select a button.
key_error_val_dublicate,Значение [{0}] в кнопке дублируется.,Value [{0}] in a button is duplicated.
key_error_mod_dublicate,Модификатор [{0}] в кнопке дублируется.,Modifier {0} in a button is duplicated.
key_error_one_value,Передавать в кнопку разрешается только одно состояние.,Only one state is allowed to be passed to a button.
key_error_remove_dir,Невозможно удалить директорию {0}.,Unable to delete directory {0}.
key_error_kb_not_exists,Для языка {0} урока {1} отсутствует клавиатура. Нажмите Е и добавьте клавиатуру,There is no keyboard for this lesson {1} language {0}.Press E and add the keyboard.
key_error_no_parts_in_lesson,Для урока {0} нет частей., No parts for the lesson {0}.
key_error_change_in_lesson,Урок {0} был изменён. Выберите вручную следующую часть {1}.,Lesson {0} has been changed. Manually select the following part {1}.
key_error_empty_part_name,Укажите название для новой части.,Specify a name for the new part.
key_error_not_selected_part,Выберите часть в которую нужно сохранить символы.,Select the part where you want to save the characters.
key_error_select_lesson,Выберите урок.,Choose a lesson
key_error_keyboard_version,Версия файла клавиатуры {0} отличается от используемой в текущей версии приложения и не может быть применена.,The version of the keyboard file {0} differs from the one used in the current version of the application and cannot be applied.
key_error_lesson_version,Версия файла урока {0} отличается от используемой в текущей версии приложения и не может быть применена.,The version of the lesson file {0} differs from the one used in the current version of the application and cannot be applied.
key_error_username,В имени пользователя старайтесь использовать только буквы и цифры.,Try to use only letters and numbers in the username.
key_error_user_select,Сначала выберите пользователя.,First select the user.
key_error_copy_file,Ошибка копирования файла {0} {1}.,Error copying file {0} {1}.
key_error_file_not_found,Файл {0} отсутствует на диске., File {0} is not exist.

key_done_lesson,Вы прошли урок!,You have passed the lesson!
key_done_part,Вы прошли часть!,You have passed the part!
key_done_part_saved,Часть успешно сохранена!,Part saved successfully!

key_help_about_text,Программа предназначена для освоения десятипальцевого слепого метода набора символов на клавиатуре. Имеет встроенный редактор клавиатур и уроков. Позволяет экспортировать и импортировать файлы клавиатур и уроков.,The program is designed to master the ten-finger blind method of typing characters on the keyboard. It has a built-in keyboard lessons editor. Allows you to export and import keyboard and lesson files that can be distributed.
key_help_changelog,История изменений,Changelog

key_hint_create_lesson,Создать урок,Create a lesson
key_hint_remove_lesson,Удалить выделенный урок,Remove the selected lesson
key_hint_edit_keyboard,Редактор клавиатуры для языка урока,Editor for a lesson language keyboard
key_hint_add_part,Добавить часть урока,Add a lesson part
key_hint_remove_part,Удалить выделенную часть урока,Remove the selected lesson part
key_hint_part_name,Имя добавляемой части урока,Name of the lesson part to be added
key_hint_part_name_holder,Название части,Part name
key_hint_save_symbols,Сохранить введенные символы в выделенной части,Save the entered characters in the selected part
key_hint_rename_user,Изменить имя пользователя,Change User Name
key_hint_add_user,Добавить пользователя,Add a user
key_hint_remove_user,Удалить пользователя,Delete a user
key_hint_users,Пользователи,Users
key_hint_type_speed,{0} с/м,{0} spm
key_hint_type_speed_session,{0} с/м урока,{0} spm lesson
key_hint_type_speed_norm, норма 220 с/м, norm 220 spm


key_tutor_lesson_single_click,Кликните мышью по имени урока.,Click on the lesson name.
key_tutor_lesson_part_list,Появится список частей урока.,A list of lesson parts will appear.
key_tutor_lesson_find,Для поиска в списке введите часть названия и нажмите Enter.,To search in the list - enter part of the name and press Enter.
key_tutor_lesson_double_start,Сделайте двойной клик по уроку или части для старта.,Double-click on the lesson or a part to start.

key_tutor_keyboard_type_field,"Эти символы вам нужно вводить с клавиатуры. Убедитесь, что вы переключились на нужную раскладку клавиатуры.",You need to enter these characters from the keyboard. Make sure that you have switched to the desired keyboard layout.
key_tutor_keyboard_key_green,"Следующий символ и модификатор, которые нужно нажать на клавиатуре, будут подсвечиваться зелёными рамками.",The next character and modifier to be pressed on the keyboard will be highlighted with green frames.
key_tutor_finger,"Палец, которым нужно нажимать кнопку на клавиатуре.",The finger with which to press the button on the keyboard.
key_tutor_back,Нажмите эту кнопку если захотите вернуться к списку уроков.,Click this button if you want to return to the list of lessons.

key_tutor_E,Нажмите Е для переключения в режим редактирования.,Press E to switch to edit mode.

key_tutor_create_lesson_btn,"Нажмите кнопку для для того, чтобы создать новый урок.",Click the button to create a new lesson.
key_tutor_find_lang,Введите часть названия языка и нажмите Enter.,Write a part of the language name and press Enter.
key_tutor_lang_list,Выделите язык для которого будет создан урок.,Select the language for which the lesson will be created.
key_tutor_author,Укажите имя автора урока.,Specify the name of the author of the lesson.
key_tutor_lesson_name,Укажите название урока.,Specify the name of the lesson.
key_tutor_lesson_save,Сохраните урок.,Save the lesson.
key_tutor_lesson_sel_new,Выделите новый урок,Select a new lesson
key_tutor_add_part,Добавить часть урока.,Add a lesson part.
key_tutor_part_sel_new,Выделите новую часть.,Select a new part.
key_tutor_remove_part,Удалить выделенную часть урока.,Remove the selected lesson part.
key_tutor_name_add_part,Имя добавляемой части урока.,The name of a added lesson part.
key_tutor_add_symbols,Добавьте символы для части урока.,Add symbols for part of the lesson.
key_tutor_save_symbols,Сохранить введенные символы в выделенной части.,Save the entered characters in the selected part.

key_tutor_create_keyboard,Создать клавиатуру,Create a keyboard
key_tutor_kb_first,Нажмите на кнопку и она будет выделена зелёным цветом.,Click on the button and it will be highlighted in green.
key_tutor_kb_lineedit,"После выбора кнопки будет подсвечено поле ввода символов с клавиатуры. Найдите аналог этой кнопки на вашей клавиатуре и нажмите символ без модификатора и затем с модификатором (Например - а и А+Shift). Значение будет сохранено на диск. Убедитесь, что специальная клавиша с модификатором нажата до клавиши с символом. Если вы введёте одинаковые символы для одной кнопки или одинаковые модификаторы появится сообщение об ошибке. Очистить значение на кнопке можно удалив символы в строке ввода. Добавьте значения для нескольких кнопок.","After selecting the button, the keyboard character input field will be highlighted. Find an analogue of this button on your keyboard and press the character without a modifier and then with a modifier (For example - a and A +Shift). The value will be saved to disk. Make sure that the special modifier key is pressed before the symbol key. If you enter the same characters for one button or the same modifiers, an error message will appear. You can clear the value on the button by deleting the characters in the input line. Add values for multiple buttons."
key_tutor_back,Нажмите чтобы вернуться назад.,Click to go back.

key_tutor_export_lesson,Экспорт урока,Exporting a lesson
key_tutor_select_lesson,Выделите урок,Select the lesson
key_tutor_export,"Выберите директорию в файловой системе, куда будут скопированы файлы, содержащие описание выделенного урока и клавиатуры с нужным языком. Этими файлами вы можете обмениваться с другими пользователями удобным вам способом.",Select the directory in the file system where the files containing the description of the selected lesson and the keyboard with the desired language will be copied. You can share these files with other users in a way that is convenient for you.
key_tutor_import_lesson,Импорт урока,Importing a lesson
key_tutor_import,Выберите файлы содержащие описание урока и клавиатуры с нужным языком. Этими уроками вы сможете пользоваться как встроенными.,Select the files containing the description of the lesson and the keyboard with the desired language. You can use these lessons as built-in.

